type,B-V
A0V,0.010238736256789246
A1V,0.010821075784866073
A2I,0.07302850691562135
A2V,0.017662579449638362
A3V,0.036103713362140744
A5V,0.11667343510472279
A7V,0.09680049667995631
B0I,-0.12810275770793567
B0V,-0.21124161012037845
B1I,-0.09203760910444814
B1V,-0.2016948486376391
B2V,-0.18937574984181182
B3V,-0.12484367202612834
B5I,-0.012110876204522114
B5V,-0.10572738369367163
B6V,-0.09349103440866045
B7V,-0.0845393659350062
B8I,0.034838606901192115
B8V,-0.054229581540519156
B9V,-0.02712493597852059
F0I,0.18033324882090973
F2I,0.21150422846010564
F2V,0.2721559485034728
F4V,0.21909981150981464
F5V,0.32840401593622115
F6V,0.31558858072187856
F7V,0.36202723205038057
F8I,0.3848787575701387
F8V,0.38301522788300624
F9V,0.4040959314490601
G0I,0.5282715102341751
G0V,0.412688889888352
G1V,0.4568465133628514
G2I,0.6302225787142399
G2V,0.44727721081077193
G5V,0.49263553506445845
G8I,0.8365114062658021
G8V,0.5628761915976866
K0V,0.5439823792955268
K3V,0.6841809505012266
K4V,0.6935786443205942
K5V,0.86861525448293
K7V,1.011866496820109
K8V,0.7548485691197826
K9V,1.0379767959347994
M0V,1.0589408668154812
M1I,1.4530993550552598
M1V,1.1490932962703084
M2V,1.1760307168386652
M4V,1.209478306709716
M5V,1.158014638579549
M6V,1.3790539264968302
M8V,1.0586646232611552
O5V,-0.20240652066139297
O7I,-0.1714585749092139
O7V,-0.20005753837603102
O8V,-0.19536113775999375
O9I,-0.1725422082588004
O9V,-0.21243370699282238
